ItemName,Category,Year,ItemUnit,ItemValue
水污染罰鍰次數/總計,彰化縣,105,次,301
水污染罰鍰次數/總計,苗栗縣,105,次,83
水污染罰鍰次數/總計,新竹縣,105,次,120
水污染罰鍰次數/總計,宜蘭縣,105,次,66
水污染罰鍰次數/總計,高雄市,105,次,230
水污染罰鍰次數/總計,臺南市,105,次,281
水污染罰鍰次數/總計,臺中市,105,次,374
水污染罰鍰次數/總計,桃園市,105,次,422
水污染罰鍰次數/總計,臺北市,105,次,24
水污染罰鍰次數/總計,新北市,105,次,243
水污染罰鍰次數/總計,總計,105,次,"2,722"
水污染罰鍰次數/其他,連江縣,104,次,－
水污染罰鍰次數/其他,金門縣,104,次,－
水污染罰鍰次數/其他,嘉義市,104,次,－
水污染罰鍰次數/其他,新竹市,104,次,－
水污染罰鍰次數/其他,基隆市,104,次,－
水污染罰鍰次數/其他,澎湖縣,104,次,－
水污染罰鍰次數/其他,花蓮縣,104,次,－
水污染罰鍰次數/其他,臺東縣,104,次,－
水污染罰鍰次數/其他,屏東縣,104,次,－
水污染罰鍰次數/其他,嘉義縣,104,次,－
水污染罰鍰次數/其他,雲林縣,104,次,－
水污染罰鍰次數/其他,南投縣,104,次,－
水污染罰鍰次數/其他,彰化縣,104,次,－
水污染罰鍰次數/其他,苗栗縣,104,次,－
水污染罰鍰次數/其他,新竹縣,104,次,－
水污染罰鍰次數/其他,宜蘭縣,104,次,－
水污染罰鍰次數/其他,高雄市,104,次,－
水污染罰鍰次數/其他,臺南市,104,次,－
水污染罰鍰次數/其他,臺中市,104,次,－
水污染罰鍰次數/其他,桃園市,104,次,－
水污染罰鍰次數/其他,臺北市,104,次,－
水污染罰鍰次數/其他,新北市,104,次,－
水污染罰鍰次數/其他,總計,104,次,－
水污染罰鍰次數/公共及社區下水道系統,連江縣,104,次,－
水污染罰鍰次數/公共及社區下水道系統,金門縣,104,次,－
水污染罰鍰次數/公共及社區下水道系統,嘉義市,104,次,5
水污染罰鍰次數/公共及社區下水道系統,新竹市,104,次,15
水污染罰鍰次數/公共及社區下水道系統,基隆市,104,次,1
水污染罰鍰次數/公共及社區下水道系統,澎湖縣,104,次,1
水污染罰鍰次數/公共及社區下水道系統,花蓮縣,104,次,－
水污染罰鍰次數/公共及社區下水道系統,臺東縣,104,次,－
水污染罰鍰次數/公共及社區下水道系統,屏東縣,104,次,－
水污染罰鍰次數/公共及社區下水道系統,嘉義縣,104,次,－
水污染罰鍰次數/公共及社區下水道系統,雲林縣,104,次,－
水污染罰鍰次數/公共及社區下水道系統,南投縣,104,次,1
水污染罰鍰次數/公共及社區下水道系統,彰化縣,104,次,－
水污染罰鍰次數/公共及社區下水道系統,苗栗縣,104,次,－
水污染罰鍰次數/公共及社區下水道系統,新竹縣,104,次,25
水污染罰鍰次數/公共及社區下水道系統,宜蘭縣,104,次,2
水污染罰鍰次數/公共及社區下水道系統,高雄市,104,次,2
水污染罰鍰次數/公共及社區下水道系統,臺南市,104,次,2
水污染罰鍰次數/公共及社區下水道系統,臺中市,104,次,7
水污染罰鍰次數/公共及社區下水道系統,桃園市,104,次,1
水污染罰鍰次數/公共及社區下水道系統,臺北市,104,次,3
水污染罰鍰次數/公共及社區下水道系統,新北市,104,次,13
水污染罰鍰次數/公共及社區下水道系統,總計,104,次,78
水污染罰鍰次數/工業區專用污水下水道系統,連江縣,104,次,－
水污染罰鍰次數/工業區專用污水下水道系統,金門縣,104,次,－
水污染罰鍰次數/工業區專用污水下水道系統,嘉義市,104,次,－
水污染罰鍰次數/工業區專用污水下水道系統,新竹市,104,次,－
水污染罰鍰次數/工業區專用污水下水道系統,基隆市,104,次,－
水污染罰鍰次數/工業區專用污水下水道系統,澎湖縣,104,次,－
水污染罰鍰次數/工業區專用污水下水道系統,花蓮縣,104,次,－
水污染罰鍰次數/工業區專用污水下水道系統,臺東縣,104,次,－
